,Unnamed: 0,Longitude,Latitude,Xadj,Yadj,dist,bp,C14Age,C14SD,calCurves,resOffsets,resErrors,sim_dates,model
0,1,-61.9574,-10.9557,-61.9574,-10.9557,0.0,5781,5070,60,shcal20,0,0,5000,null
1,2,-48.5534,-5.1164,-48.5534,-5.1164,1611.85370029102,2417,2430,20,shcal20,0,0,3530,null
2,3,-50.5414,-5.8059,-50.5414,-5.8059,1379.87344471433,2413,2410,40,shcal20,0,0,3740,null
3,4,-51.993,-21.511,-51.993,-21.511,1579.5535695121,2233,2240,40,shcal20,0,0,3530,null
4,5,-54.4603,-25.2054,-54.4603,-25.2054,1764.40262206863,1919,2010,75,shcal20,0,0,3320,null
5,6,-37.9295,-12.4038,-37.9295,-12.4038,2623.76621814795,1771,1880,60,shcal20,0,0,2600,null
6,7,-49.6,-23.583,-49.6,-23.583,1915.73543129561,1757,1870,100,shcal20,0,0,3260,null
7,8,-57.004,-27.689,-57.004,-27.689,1923.46252170037,1747,1860,50,shcal20,0,0,3110,null
8,9,-49.9235,-4.4351,-49.9235,-4.4351,1510.13099169882,1709,1830,30,shcal20,0,0,3650,null
9,10,-53.555,-29.659,-53.555,-29.659,2246.83054262265,1674,1800,100,shcal20,0,0,2810,null
10,11,-42.3636,-22.7853,-42.3636,-22.7853,2459.64113470738,1607,1740,90,shcal20,0,0,2840,null
11,12,-42.4667,-8.7974,-42.4667,-8.7974,2150.59554536,1550,1690,110,shcal20,0,0,2990,null
12,13,-63.85,-20.41,-63.85,-20.41,1065.62160243226,1535,1680,90,shcal20,0,0,3920,null
13,14,-64.43,-19.62,-64.43,-19.62,994.746243152392,1528,1675,80,shcal20,0,0,4010,null
14,15,-43.5789,-23.0206,-43.5789,-23.0206,2364.82903294292,1521,1650,170,shcal20,0,0,2900,null
15,16,-53.73,-27.17,-53.73,-27.17,1991.12227368352,1430,1570,100,shcal20,0,0,3080,null
16,17,-39.0235,-7.3569,-39.0235,-7.3569,2551.03730556183,1373,1530,50,shcal20,0,0,2660,null
17,18,-48.2772,-13.9506,-48.2772,-13.9506,1523.37955761984,1356,1510,50,shcal20,0,0,3620,null
18,19,-52.2897,-23.5848,-52.2897,-23.5848,1733.39237176375,1341,1490,45,shcal20,0,0,3380,null
19,20,-56.9055,-5.1735,-56.9055,-5.1735,847.784094755736,1131,1270,30,shcal20,0,0,4250,null
20,21,-45.1,-2.63,-45.1,-2.63,2076.91326136206,1102,1230,30,shcal20,0,0,3110,null
21,22,-55.05,-27.817,-55.05,-27.817,2001.33829806802,1090,1220,120,shcal20,0,0,3050,null
22,23,-64.7167,-8.8863,-64.7167,-8.8863,379.400242263173,1087,1220,40,shcal20,0,0,4700,null
23,24,-59.5,-8.56,-59.5,-8.56,378.017456212679,1075,1210,60,shcal20,0,0,4700,null
24,25,-36.81,-6.13,-36.81,-6.13,2818.16699619294,1017,1150,65,shcal20,0,0,2360,null
25,26,-51.05,-22.767,-51.05,-22.767,1747.3490337669,1002,1130,150,shcal20,0,0,3410,null
26,27,-49.9045,-6.5119,-49.9045,-6.5119,1414.0154625963,981,1120,40,shcal20,0,0,3710,null
27,28,-54.9133,-16.5375,-54.9133,-16.5375,980.390742012679,952,1095,35,shcal20,0,0,4130,null
28,29,-50.083,-29.767,-50.083,-29.267,2419.59570840114,932,1070,110,shcal20,0,0,2780,null
29,30,-40.84,-20.98,-41.34,-20.98,2514.03118348567,909,1055,80,shcal20,0,0,2810,null
30,31,-58.425,-33.426,-58.425,-33.426,2514.436810223,884,1020,130,shcal20,0,0,980,null
31,32,-48.0,-10.78,-48.0,-10.78,1526.03402801296,862,1015,60,shcal20,0,0,3590,null
32,33,-52.5624,-3.7858,-52.5624,-3.7858,1305.04462378088,855,1000,30,shcal20,0,0,3860,null
33,34,-48.7254,-1.539,-48.7254,-1.539,1795.41034759707,849,980,40,shcal20,0,0,3350,null
34,35,-56.2823,-20.5678,-56.2823,-20.5678,1224.78462658079,839,970,60,shcal20,0,0,3860,null
35,36,-51.75,-27.498,-51.75,-27.498,2119.93152429313,765,900,50,shcal20,0,0,2990,null
36,37,-55.66,-19.83,-55.66,-19.83,1191.69544317385,757,890,50,shcal20,0,0,3860,null
37,38,-52.222,-31.847,-52.722,-31.847,2520.624566856,753,890,40,shcal20,0,0,2570,null
38,39,-38.7122,-8.9019,-38.7122,-8.9019,2558.56916361598,717,810,150,shcal20,0,0,2600,null
39,40,-48.77,-28.43,-49.27,-28.43,2373.31671733336,692,795,95,shcal20,0,0,2810,null
40,41,-34.99,-8.03,-34.99,-8.03,2977.68457646743,697,785,150,shcal20,0,0,2240,null
41,42,-52.89,-14.52,-52.89,-14.52,1060.49327576763,678,780,90,shcal20,0,0,4010,null
42,43,-44.24,-15.14,-44.24,-15.14,1975.80178710619,669,770,40,shcal20,0,0,3230,null
43,44,-54.2534,-24.0765,-54.2534,-24.0765,1665.598912989,661,760,40,shcal20,0,0,3380,null
44,45,-46.04,-20.97,-46.04,-20.97,2030.05366082134,645,720,150,shcal20,0,0,3230,null
45,46,-38.23,-11.32,-38.23,-11.32,2591.50344323561,615,680,130,shcal20,0,0,2600,null
46,47,-45.076,-23.4448,-45.576,-23.4448,2261.98717480951,602,660,80,shcal20,0,0,3050,null
47,48,-42.1582,-20.7346,-42.1582,-20.7346,2377.37334580037,604,650,40,shcal20,0,0,2870,null
48,49,-45.3701,-4.2532,-45.3701,-4.2532,1973.63302056153,592,630,80,shcal20,0,0,3230,null
49,50,-52.0,-16.0,-52.0,-16.0,1213.56813124127,591,620,55,shcal20,0,0,3920,null
50,51,-51.1632,-30.2653,-51.6632,-30.2653,2412.30697743599,570,610,50,shcal20,0,0,2720,null
51,52,-55.3896,-21.7743,-55.3896,-21.7743,1387.03001315563,570,610,50,shcal20,0,0,3680,null
52,53,-58.082,-28.319,-58.082,-28.319,1964.28051396111,545,580,50,shcal20,0,0,3050,null
53,54,-52.1195,-29.2885,-52.1195,-29.2885,2272.62081979281,533,560,40,shcal20,0,0,2840,null
54,55,-41.25,-13.7625,-41.25,-13.7625,2272.54761131132,529,550,95,shcal20,0,0,2930,null
55,56,-48.57,-27.67,-49.07,-27.67,2320.08593684219,532,550,70,shcal20,0,0,2870,null
56,57,-52.8533,-22.6119,-52.8533,-22.6119,1612.99144402476,521,530,55,shcal20,0,0,3500,null
57,58,-49.3842,-25.4756,-49.3842,-25.4756,2082.89294045088,518,528,70,shcal20,0,0,3110,null
58,59,-57.8212,-9.8132,-57.8212,-9.8132,470.233882787876,516,520,30,shcal20,0,0,4610,null
59,60,-57.8212,-9.8132,-57.8212,-9.8132,470.233882787876,516,520,30,shcal20,0,0,4610,null
60,61,-38.09,-7.83,-38.09,-7.83,2643.35743078486,476,510,150,shcal20,0,0,2570,null
61,62,-51.0433,-26.2388,-51.0433,-26.2388,2043.97030906448,507,500,45,shcal20,0,0,3080,null
62,63,-43.55,-12.06,-43.55,-12.06,2011.50837369882,462,450,50,shcal20,0,0,3170,null
63,64,-52.892,-30.845,-52.892,-30.845,2392.94404700452,465,445,40,shcal20,0,0,2660,null
64,65,-58.6984,-34.306,-58.6984,-34.306,2607.19100299169,459,442,45,shcal20,0,0,950,null
65,66,-50.5648,-24.0218,-50.5648,-24.0218,1883.24394863934,454,440,50,shcal20,0,0,3260,null
66,67,-47.3844,-23.4517,-47.3844,-23.4517,2074.15865045336,403,415,105,shcal20,0,0,3170,null
67,68,-49.0757,-20.6365,-49.0757,-20.6365,1745.3502215587,400,390,40,shcal20,0,0,3500,null
68,69,-40.5667,-7.5333,-40.5667,-7.5333,2380.0364286052,327,340,150,shcal20,0,0,2780,null
69,70,-47.47,-5.52,-47.47,-5.52,1704.97587083765,316,300,30,shcal20,0,0,3470,null
70,71,-48.47,-23.59,-48.47,-23.59,2000.08698420207,306,290,40,shcal20,0,0,3230,null
71,72,-43.6133,-21.7785,-43.6133,-21.7785,2293.1123852665,194,230,40,shcal20,0,0,2960,null
72,73,-52.2481,-4.7173,-52.2481,-4.7173,1273.33506039818,191,210,30,shcal20,0,0,3860,null
73,74,-53.33,-23.667,-53.33,-23.667,1678.02408343608,103,110,60,shcal20,0,0,3410,null
0,1,-61.9574,-10.9557,-61.9574,-10.9557,0.0,5781,5070,60,shcal20,0,0,5000,forest
